Report_ID,Report_Date,NIBRS_Code_Name,NIBRS_Crime_Against,Service_Area,NIBRS_Group,Zip_Code,DateTime
71707603900,2026-07-17,Pornography/Obscene Material,SOCIETY,EAST,Pornography/Obscene Material,78220,2026-09-01
51144055625,2023-06-28,Stolen Property Offenses,PROPERTY,EAST,Stolen Property Offenses,78220,2026-09-01
50064388950,2023-05-24,Fondling,PERSON,SOUTH,"Sex Offenses, Forcible",78221,2026-09-01
53829714543,2024-01-18,Stolen Property Offenses,PROPERTY,SOUTH,Stolen Property Offenses,78221,2026-09-01
62667790032,2025-02-07,Stolen Property Offenses,PROPERTY,EAST,Stolen Property Offenses,78222,2026-09-01
69187708238,2026-03-12,Stolen Property Offenses,PROPERTY,EAST,Stolen Property Offenses,78222,2026-09-01
62992582838,2025-03-04,Theft From Coin-Operated Machine or Device,PROPERTY,EAST,Larceny/Theft Offenses,78222,2026-09-01
52900589007,2023-11-03,Embezzlement,PROPERTY,SOUTH,Embezzlement,78223,2026-09-01
63521131895,2025-04-10,Fondling,PERSON,SOUTH,"Sex Offenses, Forcible",78223,2026-09-01
64600951714,2025-06-20,Pornography/Obscene Material,SOCIETY,EAST,Pornography/Obscene Material,78223,2026-09-01
56011343810,2024-05-10,Purse-snatching,PROPERTY,EAST,Larceny/Theft Offenses,78223,2026-09-01
72330996369,2026-08-19,Wire Fraud,PROPERTY,EAST,Fraud Offenses,78223,2026-09-01
70250931027,2026-05-02,Pornography/Obscene Material,SOCIETY,SOUTH,Pornography/Obscene Material,78224,2026-09-01
66099878710,2025-09-17,Wire Fraud,PROPERTY,SOUTH,Fraud Offenses,78224,2026-09-01
48536446982,2023-04-03,Animal Cruelty,SOCIETY,WEST,Animal Cruelty,78227,2026-09-01
70762848461,2026-05-27,Arson,PROPERTY,WEST,Arson,78227,2026-09-01
64600280035,2025-06-20,Pornography/Obscene Material,SOCIETY,WEST,Pornography/Obscene Material,78227,2026-09-01
68562279276,2026-02-14,Pornography/Obscene Material,SOCIETY,WEST,Pornography/Obscene Material,78227,2026-09-01
70532885038,2026-05-19,Wire Fraud,PROPERTY,WEST,Fraud Offenses,78227,2026-09-01
60794614243,2024-11-11,Animal Cruelty,SOCIETY,WEST,Animal Cruelty,78228,2026-09-01
62713626876,2025-02-10,Arson,PROPERTY,WEST,Arson,78228,2026-09-01
52004952343,2023-08-24,"Human Trafficking, Commercial Sex Acts",PERSON,WEST,Human Trafficking,78228,2026-09-01
58924545721,2024-09-11,Pornography/Obscene Material,SOCIETY,WEST,Pornography/Obscene Material,78228,2026-09-01
66335737941,2025-10-01,Wire Fraud,PROPERTY,WEST,Fraud Offenses,78228,2026-09-01
67591853978,2025-11-29,Wire Fraud,PROPERTY,WEST,Fraud Offenses,78228,2026-09-01
51470834713,2023-07-23,Sexual Assault With An Object,PERSON,PRUE,"Sex Offenses, Forcible",78229,2026-09-01
69597623698,2026-04-08,Stolen Property Offenses,PROPERTY,WEST,Stolen Property Offenses,78229,2026-09-01
64794652011,2025-07-02,Welfare Fraud,PROPERTY,PRUE,Fraud Offenses,78229,2026-09-01
40934420231,2023-01-19,Fondling,PERSON,PRUE,"Sex Offenses, Forcible",78230,2026-09-01
71222814963,2026-06-29,Fondling,PERSON,PRUE,"Sex Offenses, Forcible",78230,2026-09-01
71462822386,2026-07-07,Prostitution,SOCIETY,PRUE,Prostitution Offenses,78230,2026-09-01
55729744387,2024-04-29,Sodomy,PERSON,PRUE,"Sex Offenses, Forcible",78230,2026-09-01
64094906635,2025-05-22,Wire Fraud,PROPERTY,PRUE,Fraud Offenses,78230,2026-09-01
59710817254,2024-09-29,Animal Cruelty,SOCIETY,NORTH,Animal Cruelty,78233,2026-09-01
61091538567,2024-12-08,Arson,PROPERTY,NORTH,Arson,78233,2026-09-01
52472025153,2023-09-29,Sexual Assault With An Object,PERSON,NORTH,"Sex Offenses, Forcible",78233,2026-09-01
65968229543,2025-09-10,Stolen Property Offenses,PROPERTY,NORTH,Stolen Property Offenses,78233,2026-09-01
63917866453,2025-05-09,Wire Fraud,PROPERTY,NORTH,Fraud Offenses,78233,2026-09-01
52504847805,2023-10-04,Arson,PROPERTY,WEST,Arson,78237,2026-09-01
69463455474,2026-03-30,Stolen Property Offenses,PROPERTY,WEST,Stolen Property Offenses,78237,2026-09-01
52462931590,2023-09-28,Wire Fraud,PROPERTY,WEST,Fraud Offenses,78237,2026-09-01
53449110877,2023-12-18,Wire Fraud,PROPERTY,CENTRAL,Fraud Offenses,78237,2026-09-01
62969223826,2025-03-02,Fondling,PERSON,WEST,"Sex Offenses, Forcible",78238,2026-09-01
55132870544,2024-04-01,Pornography/Obscene Material,SOCIETY,WEST,Pornography/Obscene Material,78238,2026-09-01
52237737753,2023-09-09,Wire Fraud,PROPERTY,WEST,Fraud Offenses,78238,2026-09-01
57960732735,2024-07-29,Extortion/Blackmail,PROPERTY,PRUE,Extortion/Blackmail,78240,2026-09-01
